genres,count
Fiction,7632
Fantasy,5637
Young Adult,4131
Romance,4057
Historical,2446
Contemporary,2441
Novels,2424
Classics,2390
Audiobook,2184
Literature,2150
Mystery,2024
Adult,2024
Adventure,1938
Historical Fiction,1794
Paranormal,1668
Science Fiction,1656
Cultural,1489
Childrens,1321
Thriller,1287
Magic,1213
European Literature,1141
Nonfiction,1057
Adult Fiction,1046
Urban Fantasy,1004
Science Fiction Fantasy,966
Supernatural,961
Middle Grade,872
Humor,867
Teen,820
Drama,804
Literary Fiction,796
Horror,772
Crime,769
Womens Fiction,765
Paranormal Romance,757
Chick Lit,752
Suspense,738
Mystery Thriller,642
Philosophy,638
Realistic Fiction,577
Contemporary Romance,577
Academic,568
American,555
History,550
Dystopia,548
Vampires,547
High Fantasy,543
New Adult,539
20th Century,515
Biography,500
